Run Date,4/30/2015 11:48:56
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,padCounts[0],padCounts[1],padCounts[2],padCounts[3],padCounts[4],padCounts[5],pad_max[0],pad_max[1],pad_max[2],pad_max[3],pad_max[4],pad_max[5],pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,797,0,0,0,7,66,28,42042,41925,41007,42692,43863,47737,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,25,40,44,52,44,56,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
2,1797,0,0,0,8,66,28,42044,41926,41011,42691,43869,47747,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,23,39,40,53,38,46,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
3,2797,0,0,0,9,66,28,42040,41932,41011,42697,43863,47736,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,27,33,40,47,44,57,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
4,3797,0,0,0,10,66,28,42042,41940,41024,42706,43877,47749,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,25,25,27,38,30,44,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
5,4797,0,0,0,11,66,28,42046,41932,41022,42704,43864,47743,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,21,33,29,40,43,50,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
6,5797,0,0,0,12,66,28,42043,41927,41014,42707,43870,47747,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,24,38,37,37,37,46,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
7,6813,0,0,0,13,66,28,42050,41927,41008,42696,43873,47752,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,17,38,43,48,34,41,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
8,7797,0,0,0,14,66,28,42039,41930,41008,42686,43843,47355,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,28,35,43,58,64,438,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
9,8797,0,0,0,15,66,28,41993,41933,41010,42699,43862,47556,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,74,32,41,45,45,237,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
10,9797,0,0,0,16,66,28,42037,41925,40999,42688,43856,47604,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,30,40,52,56,51,189,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
11,10797,0,0,0,17,66,28,42039,41934,41010,42701,43863,47620,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,28,31,41,43,44,173,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
12,11797,0,0,0,18,66,28,42033,41922,40996,42692,43853,47623,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,34,43,55,52,54,170,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
13,12797,79,2,30,0,66,28,42028,41920,40986,42635,43014,46734,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,39,45,65,109,893,1059,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
14,13813,79,2,30,0,66,28,42029,41923,40991,42644,43035,46758,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,38,42,60,100,872,1035,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
15,14797,0,0,0,1,66,28,42051,41928,41006,42694,43872,47742,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,16,37,45,50,35,51,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
