Run Date,5/1/2015 17:55:12
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,7187,0,0,0,301,0,0,41282,41008,40848,42150,45543,48269,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,23,34,43,53,52,39,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
2,8203,0,0,0,301,0,0,41282,41008,40848,42150,45543,48269,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,23,34,43,53,52,39,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
3,9187,0,0,0,301,0,0,41282,41008,40848,42150,45543,48269,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,23,34,43,53,52,39,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
4,10203,0,0,0,301,0,0,41282,41008,40848,42150,45543,48269,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,23,34,43,53,52,39,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
5,11203,0,0,0,301,0,0,41282,41008,40848,42150,45543,48269,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,23,34,43,53,52,39,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
6,12203,0,0,0,301,0,0,41282,41008,40848,42150,45543,48269,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,23,34,43,53,52,39,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
7,13203,0,0,0,301,0,0,41282,41008,40848,42150,45543,48269,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,23,34,43,53,52,39,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
8,14203,0,0,0,301,0,0,41282,41008,40848,42150,45543,48269,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,23,34,43,53,52,39,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
9,15203,0,0,0,301,0,0,41282,41008,40848,42150,45543,48269,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,23,34,43,53,52,39,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
10,23296,0,0,0,301,0,0,41242,40980,40833,42130,45541,48253,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,63,62,58,73,54,55,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
