Run Date,8/18/2015 09:03:15
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,tempC,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,28125,0,0,0,55,0,0,40241,42229,41380,42815,44356,48047,40256,42237,41396,42823,44368,48055,33163,42218,41373,42801,44346,48025,15,8,16,8,12,8,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
2,29203,0,0,0,56,0,0,40243,42227,41378,42805,44355,48034,40256,42237,41396,42823,44368,48055,33163,42218,41373,42801,44346,48025,13,10,18,18,13,21,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
3,30203,0,0,0,57,0,0,40239,42220,41384,42805,44350,48039,40256,42237,41396,42823,44368,48055,33163,42218,41373,42801,44346,48025,17,17,12,18,18,16,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
4,31218,0,0,0,58,0,0,40236,42220,41377,42806,44346,48028,40256,42237,41396,42823,44368,48055,33163,42218,41373,42801,44346,48025,20,17,19,17,22,27,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
5,32203,0,0,0,59,0,0,40234,42221,41375,42808,44354,48023,40256,42237,41396,42823,44368,48055,33163,42218,41373,42801,44346,48023,22,16,21,15,14,32,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
6,33203,0,0,0,60,0,0,40233,42223,41382,42803,44353,48026,40256,42237,41396,42823,44368,48055,33163,42218,41373,42801,44346,48023,23,14,14,20,15,29,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
7,34203,0,0,0,61,0,0,40233,42219,41382,42803,44345,48026,40256,42237,41396,42823,44368,48055,33163,42218,41373,42801,44345,48023,23,18,14,20,23,29,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
8,35203,0,0,0,62,0,0,40230,42221,41383,42798,44347,48027,40256,42237,41396,42823,44368,48055,33163,42218,41373,42798,44345,48023,26,16,13,25,21,28,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
9,36218,0,0,0,63,0,0,40228,42229,41387,42807,44346,48029,40256,42237,41396,42823,44368,48055,33163,42218,41373,42798,44345,48023,28,8,9,16,22,26,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
10,37203,0,0,0,64,0,0,40233,42222,41386,42810,44351,48040,40256,42237,41396,42823,44368,48055,33163,42218,41373,42798,44345,48023,23,15,10,13,17,15,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
11,38203,0,0,0,65,0,0,40233,42229,41383,42808,44337,48026,40256,42237,41396,42823,44368,48055,33163,42218,41373,42798,44337,48023,23,8,13,15,31,29,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
12,39218,0,0,0,66,0,0,40237,42231,41377,42810,44347,48028,40256,42237,41396,42823,44368,48055,33163,42218,41373,42798,44337,48023,19,6,19,13,21,27,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
